Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
38,Barbara Bonansea,MFFW,it Italy,31-046,1991,3,2,215,2.4,0,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches,3581dc2b
39,Agnese Bonfantini,FW,it Italy,23-025,1999,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31ba7da6
40,Aitana Bonmati,MF,es Spain,24-192,1998,4,4,378,4.2,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,f3d165f5
41,Ana Borges,FWDF,pt Portugal,32-044,1990,3,3,256,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9715580f
42,Simone Boye Sorensen,DF,dk Denmark,30-148,1992,3,1,115,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,800ce204
43,Jule Brand,FW,de Germany,19-286,2002,5,1,159,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0ab91913
44,Sofie Bredgaard,MF,dk Denmark,20-192,2002,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8caf489
45,Millie Bright,DF,eng England,28-342,1993,5,5,436,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,22fccf20
46,Lucy Bronze,DF,eng England,30-274,1991,5,5,463,5.1,1,2,1,0,0,0,0,0.19,0.39,0.58,0.19,0.58,Matches,5056c581
47,Esmee Brugts,FW,nl Netherlands,19-001,2003,3,0,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,df2b501c
48,Signe Bruun,FW,dk Denmark,24-114,1998,2,2,117,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,623d0667
49,Dagny Brynjarsdottir,MF,is Iceland,30-353,1991,3,3,270,3.0,1,0,0,1,1,0,0,0.33,0.00,0.33,0.00,0.00,Matches,e483bd89
50,Klara Buhl,FW,de Germany,21-234,2000,4,4,291,3.2,1,1,1,0,0,0,0,0.31,0.31,0.62,0.31,0.62,Matches,4d0c6dc5
51,Luana Buhler,DF,ch Switzerland,26-092,1996,2,2,147,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c539c765
52,Jackie Burns,GK,nir Northern Ireland,25-145,1997,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8fd4862e
53,Kelsie Burrows,DF,nir Northern Ireland,21-157,2001,2,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75462586
54,Vilde Boe Risa,MF,no Norway,27-016,1995,3,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,20a6da0c
55,Mariona Caldentey,MFFW,es Spain,26-132,1996,4,4,362,4.0,1,1,0,1,1,0,0,0.25,0.25,0.50,0.00,0.25,Matches,59da315a
56,Nadene Caldwell,MF,nir Northern Ireland,31-186,1991,2,1,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a53b2e3a
57,Marissa Callaghan,MF,nir Northern Ireland,36-330,1985,3,2,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8196e2ae
58,Viola Calligaris,DF,ch Switzerland,26-134,1996,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bf12363c
59,Marta Cardona,FW,es Spain,27-064,1995,4,1,123,1.4,1,0,1,0,0,0,0,0.73,0.00,0.73,0.73,0.73,Matches,02d10cee
60,Olga Carmona,DF,es Spain,22-047,2000,2,1,165,1.8,0,1,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55,Matches,830c134a
61,Jessica Carter,DFMF,eng England,24-275,1997,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bb5e99fc
62,Arianna Caruso,MF,it Italy,22-265,1999,3,2,151,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d83b882b
63,Delphine Cascarino,FW,fr France,25-174,1997,5,4,380,4.2,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,9d82fe8e
64,Kerstin Casparij,DF,nl Netherlands,21-344,2000,3,1,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c53d044d
65,Janice Cayman,MFFW,be Belgium,33-290,1988,4,4,359,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches,1722c1c3
66,Valentina Cernoia,MF,it Italy,31-037,1991,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,66dcd586
67,Lene Christensen,GK,dk Denmark,22-175,2000,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e05af23
68,Carole Costa,DF,pt Portugal,32-087,1990,3,3,264,2.9,1,1,0,1,1,0,0,0.34,0.34,0.68,0.00,0.34,Matches,c839f5e7
69,Ana-Maria Crnogorcevic,MF,ch Switzerland,31-299,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3c316a3
70,Sara Dabritz,MF,de Germany,27-164,1995,5,5,351,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cc266f16
71,Kenza Dali,MF,fr France,30-363,1991,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1cb43c5f
72,Linda Dallmann,MF,de Germany,27-330,1994,5,1,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a20e7f0
